"","dem","temp","rain","distance_water","frostdays","sunhours","tpi","slope","aspect","site","lon","lat"
"162",174,9.5,605,598.445495605469,6.51971387863159,3,-17.375,2.8993456363678,6,1,9.80926535591446,49.9216497580235
"163",306,9,669,4589.53125,7,3,12.75,0.3242327272892,5,1,9.80928297099955,49.8022394152411
"164",199,9.39999961853027,617,0,6.70677804946899,3,-9.875,4.3527364730835,7,1,9.80957711625615,49.9264482157409
"165",167,9.60000038146973,603,0,6.12272548675537,3,-9,0.237819314002991,8,1,9.80996359054952,49.9022408744802
"166",281,9.10000038146973,655,4888.1982421875,7,3,-12.125,0.37011057138443,5,1,9.81017145032749,49.7964025155675
"167",182,9.5,603,0,7.06913757324219,3,-27.625,2.29372668266296,7,1,9.81023908238513,49.9963347104067
"168",190,9.39999961853027,606,0,7.08606004714966,3,-24.5,0.641642987728119,2,1,9.81053877933284,49.9719191704862
"169",286,8.80000019073486,649,926.930297851562,6.92245101928711,2,25.125,3.77007508277893,4,1,9.81120071696275,50.1341475278794
"170",182,9.5,603,0,7.06913757324219,3,-27.625,2.29372668266296,7,1,9.81232517926453,49.9918602908622
"171",214,9.30000019073486,622,597.929565429688,7.09432601928711,3,-11.125,2.86300110816956,2,1,9.81324814050217,49.9635091638505
"172",214,9.30000019073486,622,597.929565429688,7.09432601928711,3,-11.125,2.86300110816956,2,1,9.81347562880224,49.9640259754357
"173",170,9.5,604,598.548645019531,6.44292783737183,3,-7.25,1.14089965820312,7,1,9.81350814045609,49.9100586235476
"174",190,9.39999961853027,606,0,7.08606004714966,3,-24.5,0.641642987728119,2,1,9.81377103011941,49.9698131578421
"175",188,9.39999961853027,608,0,7.05123949050903,3,-21,1.05476379394531,7,1,9.81411754407216,49.9750887754861
"176",167,9.60000038146973,603,0,6.12272548675537,3,-9,0.237819314002991,8,1,9.81448617409496,49.9010493916655
"177",214,9.30000019073486,622,597.929565429688,7.09432601928711,3,-11.125,2.86300110816956,2,1,9.81578268887134,49.966641048876
"178",214,9.30000019073486,622,597.929565429688,7.09432601928711,3,-11.125,2.86300110816956,2,1,9.81605634671606,49.9642903966765
"179",334,8.89999961853027,670,4046.45947265625,7.22767305374146,3,9,0.851829826831818,7,1,9.8165099889253,49.8296570148805
"180",193,9.39999961853027,610,0,7.25935983657837,3,-33.5,1.21209251880646,7,1,9.81709258905704,49.9651101583393
"181",183,9.5,608,926.894165039062,6.74571132659912,3,-16.375,2.88489627838135,7,1,9.82087964799383,49.9108537923768
"182",199,9.39999961853027,607,0,7.25691747665405,3,-29,1.5534051656723,3,1,9.82207595777061,49.9507453038878
